variable,min,p01,mean,p99,max,n_nan
temp_air,0.412017822265625,3.220555419921875,19.42737750049051,37.08954223632812,39.896881103515625,0
wind_speed,0.027323540300130844,0.28873175591230393,2.3649719009386403,6.413251881599422,10.79205322265625,0
pressure,986.8287353515625,1000.6540270996094,1011.3637115199816,1025.9776599121094,1029.6925048828125,0
ghi,0.0,0.0,219.7019317301428,957.0837719726562,1009.8427734375,0
dni,0.0,0.0,231.47485350814515,912.8954115560471,956.8788856476282,0
dhi,0.0,0.0,79.01869671473297,374.70141065635454,498.50121035740887,0
