variable,min,p01,mean,p99,max,n_nan
temp_air,1.077239990234375,5.383548583984375,19.14690105838863,37.746355895996096,41.792083740234375,0
wind_speed,0.0335741750895977,0.35660150200128554,2.484800559375435,6.380891547203062,9.655425071716309,0
pressure,984.4606323242188,988.6304754638672,1001.8901719951194,1013.652631225586,1016.2952880859375,0
ghi,0.0,0.0,213.32433671237365,959.720538330078,1012.3377685546875,0
dni,0.0,0.0,216.64694068605712,904.4815222246598,960.6966731461395,0
dhi,0.0,0.0,82.25273991920655,378.8507383919389,498.070245392966,0
